 * Serving Flask app "run" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
61.151.207.141 - - [28/Jun/2019 22:48:22] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
61.151.207.141 - - [28/Jun/2019 22:48:27] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
61.151.207.141 - - [28/Jun/2019 22:48:34] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
61.151.207.141 - - [28/Jun/2019 22:48:40] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
61.151.207.141 - - [28/Jun/2019 22:48:42] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
61.151.207.141 - - [28/Jun/2019 22:48:52] "GET /static/assets/js/main.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:50:41] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:50:42] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:52:25] "GET /?nsukey=LFzXMrUiu8UNI7R7k4pmM650JdMm8b1Q8GTheCQMuggQEr7P0KqNRFAggcrnuq60hlLSK2DxBpkIBa1jVMsWzRB0u4GB95sdhZHACDFbDfT7RdqrgvqMnVggbOUuotwgtJJVlAT7gkkizz%2FUrkAO92Ewa%2FUhJDE4Z5emqLHkYu5Gas9NlvkJaRZH%2FmpE69uOKLj3HHdwVzuTUQBlH%2FmtIw%3D%3D HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:25] "GET /?nsukey=LFzXMrUiu8UNI7R7k4pmM650JdMm8b1Q8GTheCQMuggQEr7P0KqNRFAggcrnuq60hlLSK2DxBpkIBa1jVMsWzRB0u4GB95sdhZHACDFbDfT7RdqrgvqMnVggbOUuotwgtJJVlAT7gkkizz%2FUrkAO92Ewa%2FUhJDE4Z5emqLHkYu5Gas9NlvkJaRZH%2FmpE69uOKLj3HHdwVzuTUQBlH%2FmtIw%3D%3D HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:27] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:28] "GET /static/assets/js/isotope.pkgd.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:30] "GET /static/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:31] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:31] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:31] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:32] "GET /static/assets/js/jquery.counterup.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:32] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:33] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:33] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:33] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:34] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:34] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
101.89.239.216 - - [28/Jun/2019 22:53:34] "GET /static/assets/js/main.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:26:48] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:30:25] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:30:25] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
